date,open,high,low,close,adjusted_close,volume
2023-09-18,1.17,1.19,1.14,1.14,1.1253,2717300
2023-09-19,1.15,1.17,1.13,1.13,1.1154,3347500
2023-09-20,1.15,1.19,1.15,1.16,1.1451,3421600
2023-09-21,1.18,1.18,1.16,1.18,1.1648,897000
2023-09-22,1.16,1.24,1.16,1.23,1.2142,5419100
2023-09-25,1.23,1.23,1.19,1.2,1.1845,659300
2023-09-26,1.19,1.22,1.19,1.2,1.1845,1207200
2023-09-27,1.2,1.2,1.16,1.16,1.1451,1244800
2023-09-29,1.17,1.19,1.16,1.18,1.1648,1158400
2023-10-02,1.18,1.18,1.15,1.16,1.1451,2069800
2023-10-03,1.16,1.18,1.15,1.18,1.1648,1290100
2023-10-04,1.16,1.17,1.14,1.17,1.1549,1994100
2023-10-05,1.17,1.17,1.15,1.17,1.1549,325300
2023-10-06,1.16,1.18,1.16,1.17,1.1549,564500
2023-10-09,1.17,1.18,1.15,1.17,1.1549,465200
2023-10-10,1.16,1.17,1.14,1.17,1.1549,562700
2023-10-11,1.15,1.15,1.14,1.15,1.1352,688800
2023-10-12,1.15,1.16,1.14,1.16,1.1451,325000
2023-10-13,1.16,1.16,1.15,1.16,1.1451,483300
2023-10-16,1.15,1.16,1.14,1.16,1.1451,184000
2023-10-17,1.15,1.15,1.14,1.14,1.1253,514300
2023-10-18,1.14,1.15,1.12,1.13,1.1154,601100
2023-10-19,1.13,1.14,1.11,1.14,1.1253,520900
2023-10-20,1.14,1.15,1.09,1.14,1.1253,2856700
2023-10-23,1.13,1.14,1.12,1.13,1.1154,1385100
2023-10-24,1.13,1.14,1.12,1.13,1.1154,790600
2023-10-25,1.13,1.15,1.1,1.12,1.1056,1561300
2023-10-26,1.11,1.16,1.11,1.14,1.1253,3195200
2023-10-27,1.14,1.14,1.13,1.14,1.1253,243200
2023-10-30,1.13,1.14,1.1,1.13,1.1154,1263300
2023-10-31,1.13,1.13,1.11,1.13,1.1154,701700
2023-11-01,1.12,1.12,1.1,1.12,1.1056,538100
2023-11-02,1.12,1.12,1.09,1.1,1.0858,1874200
2023-11-03,1.1,1.12,1.1,1.12,1.1056,914600
2023-11-06,1.11,1.13,1.11,1.13,1.1154,1144600
2023-11-07,1.12,1.12,1.11,1.12,1.1056,638900
2023-11-08,1.12,1.13,1.11,1.12,1.1056,667000
2023-11-09,1.12,1.12,1.1,1.11,1.0957,459700
2023-11-10,1.11,1.12,1.1,1.12,1.1056,433200
2023-11-14,1.12,1.12,1.1,1.12,1.1056,442600
2023-11-15,1.12,1.13,1.11,1.12,1.1056,112500
2023-11-16,1.11,1.11,1.09,1.1,1.0858,1123200
2023-11-17,1.1,1.1,1.07,1.1,1.0858,2358100
2023-11-20,1.1,1.1,1.05,1.09,1.076,1918800
2023-11-21,1.14,1.15,1.12,1.14,1.1253,2049700
2023-11-22,1.14,1.14,1.12,1.13,1.1154,643200
2023-11-23,1.13,1.13,1.12,1.13,1.1154,338300
2023-11-24,1.13,1.13,1.11,1.12,1.1056,471300
2023-11-27,1.12,1.13,1.11,1.12,1.1056,282900
2023-11-28,1.11,1.12,1.1,1.1,1.0858,206000
2023-11-29,1.1,1.1,1.05,1.07,1.0562,6925100
2023-11-30,1.07,1.09,1.04,1.08,1.0661,2642500
2023-12-01,1.09,1.13,1.07,1.12,1.1056,3615600
2023-12-04,1.13,1.13,1.09,1.1,1.0858,589600
2023-12-05,1.1,1.1,1.09,1.1,1.0858,182000
2023-12-06,1.1,1.1,1.06,1.08,1.0661,1948000
2023-12-07,1.08,1.09,1.06,1.07,1.0562,1766900
2023-12-08,1.07,1.08,1.05,1.06,1.0463,4427500
2023-12-11,1.06,1.09,1.04,1.08,1.0661,2935400
2023-12-12,1.09,1.11,1.06,1.07,1.0562,1217100
2023-12-13,1.07,1.07,1.05,1.07,1.0562,1726600
2023-12-14,1.07,1.08,1.04,1.04,1.0266,2500700
2023-12-15,1.05,1.09,1.05,1.08,1.0661,1941200
2023-12-18,1.09,1.09,1.06,1.08,1.0661,439600
2023-12-19,1.07,1.08,1.06,1.07,1.0562,298100
2023-12-20,1.06,1.07,1.05,1.07,1.0562,1065200
