date,open,high,low,close,adjusted_close,volume
2023-09-11,0.19,0.195,0.185,0.19,0.19,2843300
2023-09-12,0.185,0.19,0.18,0.19,0.19,4159300
2023-09-13,0.185,0.19,0.185,0.19,0.19,2431800
2023-09-14,0.185,0.195,0.185,0.19,0.19,3888400
2023-09-15,0.19,0.19,0.18,0.19,0.19,2047700
2023-09-18,0.185,0.19,0.175,0.18,0.18,7868100
2023-09-19,0.18,0.185,0.18,0.185,0.185,812200
2023-09-20,0.18,0.185,0.18,0.185,0.185,1066900
2023-09-21,0.18,0.185,0.175,0.185,0.185,8426900
2023-09-22,0.18,0.185,0.18,0.185,0.185,302900
2023-09-25,0.185,0.195,0.18,0.19,0.19,4253000
2023-09-26,0.19,0.195,0.185,0.195,0.195,4043500
2023-09-27,0.195,0.195,0.185,0.195,0.195,1237400
2023-09-29,0.195,0.195,0.185,0.19,0.19,2715100
2023-10-02,0.19,0.195,0.185,0.185,0.185,1663900
2023-10-03,0.19,0.19,0.18,0.18,0.18,2344600
2023-10-04,0.18,0.18,0.175,0.18,0.18,4172900
2023-10-05,0.18,0.185,0.18,0.18,0.18,1007500
2023-10-06,0.18,0.18,0.175,0.18,0.18,305900
2023-10-09,0.18,0.18,0.175,0.18,0.18,860600
2023-10-10,0.175,0.185,0.175,0.18,0.18,843100
2023-10-11,0.18,0.18,0.175,0.18,0.18,961500
2023-10-12,0.175,0.18,0.175,0.175,0.175,1378100
2023-10-13,0.175,0.185,0.175,0.185,0.185,1524800
2023-10-16,0.18,0.18,0.18,0.18,0.18,3254600
2023-10-17,0.175,0.19,0.175,0.185,0.185,3832900
2023-10-18,0.19,0.19,0.18,0.18,0.18,2810000
2023-10-19,0.18,0.19,0.18,0.19,0.19,4015700
2023-10-20,0.19,0.19,0.18,0.185,0.185,3513500
2023-10-23,0.185,0.185,0.18,0.18,0.18,1425200
2023-10-24,0.18,0.19,0.18,0.19,0.19,7642200
2023-10-25,0.185,0.205,0.185,0.2,0.2,27640900
2023-10-26,0.195,0.21,0.195,0.205,0.205,12102200
2023-10-27,0.205,0.21,0.2,0.205,0.205,3385500
2023-10-30,0.205,0.205,0.195,0.195,0.195,6499900
2023-10-31,0.195,0.21,0.195,0.205,0.205,17845600
2023-11-01,0.205,0.21,0.2,0.205,0.205,3053100
2023-11-02,0.2,0.205,0.195,0.205,0.205,9377600
2023-11-03,0.2,0.225,0.2,0.22,0.22,32735900
2023-11-06,0.225,0.24,0.22,0.235,0.235,26362800
2023-11-07,0.235,0.24,0.23,0.235,0.235,8935300
2023-11-08,0.235,0.245,0.23,0.235,0.235,15301000
2023-11-09,0.235,0.235,0.22,0.225,0.225,6000000
2023-11-10,0.225,0.235,0.22,0.23,0.23,5907300
2023-11-14,0.23,0.235,0.225,0.225,0.225,4493600
2023-11-15,0.225,0.235,0.225,0.23,0.23,4663700
2023-11-16,0.23,0.235,0.21,0.215,0.215,9818400
2023-11-17,0.215,0.22,0.21,0.215,0.215,4376900
2023-11-20,0.22,0.225,0.215,0.225,0.225,5526400
2023-11-21,0.225,0.23,0.22,0.23,0.23,10948400
2023-11-22,0.225,0.24,0.22,0.235,0.235,14490800
2023-11-23,0.235,0.25,0.23,0.24,0.24,22967700
2023-11-24,0.22,0.225,0.21,0.225,0.225,17228900
2023-11-27,0.22,0.235,0.22,0.23,0.23,13656000
2023-11-28,0.23,0.235,0.22,0.225,0.225,7365100
2023-11-29,0.22,0.23,0.21,0.215,0.215,11555400
2023-11-30,0.215,0.22,0.21,0.22,0.22,3158600
2023-12-01,0.215,0.23,0.215,0.225,0.225,11567900
2023-12-04,0.225,0.23,0.22,0.225,0.225,3538100
2023-12-05,0.225,0.225,0.215,0.22,0.22,4589600
2023-12-06,0.22,0.225,0.215,0.215,0.215,4218400
2023-12-07,0.215,0.22,0.21,0.215,0.215,3069900
2023-12-08,0.215,0.225,0.21,0.22,0.22,4685300
2023-12-11,0.22,0.23,0.22,0.22,0.22,4669400
2023-12-12,0.225,0.225,0.215,0.22,0.22,3916700
2023-12-13,0.22,0.22,0.215,0.215,0.215,1060000
2023-12-14,0.215,0.22,0.21,0.21,0.21,4238000
2023-12-15,0.21,0.215,0.205,0.21,0.21,6530600
2023-12-18,0.21,0.215,0.205,0.21,0.21,1811100
2023-12-19,0.21,0.21,0.205,0.21,0.21,1189700
2023-12-20,0.21,0.21,0.205,0.21,0.21,2058800
2023-12-21,0.21,0.21,0.205,0.205,0.205,1129300
2023-12-22,0.205,0.21,0.2,0.205,0.205,4289000
2023-12-26,0.205,0.21,0.2,0.205,0.205,1381200
2023-12-27,0.205,0.21,0.205,0.205,0.205,2468200
2023-12-28,0.205,0.22,0.205,0.215,0.215,4930200
2023-12-29,0.215,0.22,0.215,0.22,0.22,4098300
2024-01-02,0.22,0.23,0.215,0.225,0.225,5917600
2024-01-03,0.22,0.24,0.22,0.24,0.24,8465300
2024-01-04,0.24,0.25,0.24,0.245,0.245,10747200
2024-01-05,0.245,0.25,0.235,0.24,0.24,7629600
2024-01-08,0.24,0.25,0.235,0.24,0.24,9219100
2024-01-09,0.24,0.285,0.235,0.235,0.235,78212800
2024-01-10,0.235,0.24,0.225,0.23,0.23,11530400
2024-01-11,0.23,0.235,0.22,0.225,0.225,7250300
2024-01-12,0.225,0.225,0.215,0.22,0.22,12095300
2024-01-15,0.22,0.225,0.215,0.22,0.22,2564900
2024-01-16,0.22,0.225,0.215,0.22,0.22,4563800
2024-01-17,0.215,0.22,0.21,0.21,0.21,8002100
2024-01-18,0.21,0.215,0.195,0.2,0.2,10027800
2024-01-19,0.2,0.215,0.2,0.21,0.21,5345000
2024-01-22,0.215,0.22,0.21,0.215,0.215,2279500
2024-01-23,0.215,0.23,0.215,0.225,0.225,5445000
2024-01-24,0.225,0.24,0.225,0.235,0.235,6622300
2024-01-26,0.235,0.245,0.235,0.24,0.24,7282600
2024-01-29,0.24,0.245,0.235,0.235,0.235,2067400
2024-01-30,0.235,0.245,0.235,0.235,0.235,2177700
2024-01-31,0.24,0.24,0.23,0.235,0.235,2410400
2024-02-02,0.235,0.24,0.225,0.23,0.23,3467700
2024-02-05,0.23,0.235,0.225,0.225,0.225,666100
2024-02-06,0.225,0.23,0.225,0.225,0.225,560700
2024-02-07,0.225,0.23,0.225,0.23,0.23,782400
2024-02-08,0.23,0.235,0.225,0.235,0.235,1351400
2024-02-09,0.235,0.24,0.23,0.235,0.235,2389400
2024-02-13,0.24,0.24,0.235,0.24,0.24,313800
2024-02-14,0.235,0.24,0.235,0.235,0.235,1481300
2024-02-15,0.235,0.25,0.235,0.25,0.25,7881200
2024-02-16,0.25,0.26,0.235,0.24,0.24,19676700
2024-02-19,0.24,0.245,0.235,0.235,0.235,5607700
2024-02-20,0.235,0.245,0.235,0.24,0.24,5379800
2024-02-21,0.235,0.24,0.225,0.23,0.23,4781100
2024-02-22,0.23,0.245,0.225,0.24,0.24,6609600
2024-02-23,0.24,0.245,0.23,0.23,0.23,3066800
2024-02-26,0.235,0.24,0.235,0.235,0.235,2459700
2024-02-27,0.235,0.24,0.235,0.235,0.235,1033400
2024-02-28,0.235,0.24,0.23,0.23,0.23,2406400
2024-02-29,0.23,0.235,0.225,0.225,0.225,3809900
2024-03-01,0.225,0.23,0.225,0.225,0.225,1300700
2024-03-04,0.225,0.23,0.225,0.23,0.23,1666800
2024-03-05,0.225,0.235,0.225,0.225,0.225,3148300
2024-03-06,0.225,0.235,0.225,0.235,0.235,1271200
2024-03-07,0.235,0.235,0.23,0.235,0.235,1435100
2024-03-08,0.235,0.245,0.23,0.24,0.24,5030500
2024-03-11,0.245,0.255,0.235,0.25,0.25,9658000
2024-03-12,0.25,0.25,0.245,0.245,0.245,4044900
2024-03-13,0.245,0.255,0.245,0.255,0.255,4531900
2024-03-14,0.255,0.265,0.255,0.255,0.255,7228700
2024-03-15,0.255,0.26,0.25,0.26,0.26,2475100
2024-03-18,0.26,0.265,0.255,0.26,0.26,3656500
2024-03-19,0.26,0.265,0.255,0.26,0.26,4385200
2024-03-20,0.265,0.265,0.255,0.255,0.255,2381600
2024-03-21,0.255,0.27,0.255,0.27,0.27,8224000
2024-03-22,0.27,0.27,0.26,0.26,0.26,3545400
2024-03-25,0.265,0.265,0.26,0.265,0.265,1106700
2024-03-26,0.265,0.265,0.255,0.255,0.255,3185700
2024-03-27,0.26,0.26,0.255,0.255,0.255,935700
2024-03-29,0.255,0.255,0.245,0.25,0.25,4054900
2024-04-01,0.25,0.26,0.25,0.25,0.25,1603500
2024-04-02,0.255,0.265,0.255,0.26,0.26,2600000
2024-04-03,0.26,0.26,0.25,0.25,0.25,2375200
2024-04-04,0.255,0.26,0.25,0.25,0.25,2853000
2024-04-05,0.25,0.255,0.245,0.255,0.255,1894700
2024-04-08,0.25,0.255,0.25,0.25,0.25,823800
2024-04-09,0.25,0.255,0.25,0.25,0.25,898400
2024-04-12,0.25,0.275,0.25,0.27,0.27,13196900
2024-04-15,0.265,0.275,0.26,0.265,0.265,8203000
2024-04-16,0.265,0.27,0.25,0.255,0.255,5635300
2024-04-17,0.255,0.265,0.255,0.26,0.26,12681500
2024-04-18,0.26,0.265,0.26,0.26,0.26,1285100
2024-04-19,0.26,0.26,0.245,0.25,0.25,5767000
2024-04-22,0.25,0.26,0.25,0.26,0.26,3695800
2024-04-23,0.26,0.26,0.255,0.26,0.26,3349100
2024-04-24,0.26,0.275,0.26,0.275,0.275,6864200
2024-04-25,0.275,0.295,0.27,0.29,0.29,23157800
2024-04-26,0.285,0.295,0.28,0.285,0.285,11416100
2024-04-29,0.285,0.295,0.285,0.29,0.29,2792000
2024-04-30,0.29,0.295,0.285,0.285,0.285,14582000
2024-05-02,0.285,0.3,0.28,0.295,0.295,7369900
2024-05-03,0.3,0.32,0.3,0.315,0.315,15888600
2024-05-06,0.315,0.33,0.315,0.325,0.325,10988600
2024-05-07,0.325,0.33,0.32,0.325,0.325,5384100
2024-05-08,0.325,0.33,0.32,0.32,0.32,5944000
2024-05-09,0.325,0.33,0.32,0.32,0.32,7876000
2024-05-10,0.325,0.345,0.32,0.345,0.345,17107000
2024-05-13,0.345,0.35,0.335,0.345,0.345,6534600
2024-05-14,0.345,0.36,0.345,0.35,0.35,10468600
2024-05-15,0.355,0.355,0.34,0.34,0.34,6355200
2024-05-16,0.335,0.355,0.32,0.345,0.345,18249900
2024-05-17,0.345,0.395,0.345,0.375,0.375,28340800
2024-05-20,0.39,0.405,0.385,0.39,0.39,26018800
2024-05-21,0.395,0.405,0.385,0.39,0.39,14025000
2024-05-23,0.4,0.42,0.395,0.4,0.4,39359800
2024-05-24,0.4,0.485,0.39,0.45,0.45,91091700
2024-05-27,0.465,0.515,0.46,0.515,0.515,97943300
2024-05-28,0.52,0.525,0.49,0.495,0.495,55651100
2024-05-29,0.495,0.525,0.465,0.5,0.5,56748900
2024-05-30,0.5,0.525,0.49,0.525,0.525,48241801
2024-05-31,0.525,0.55,0.52,0.525,0.525,67048800
2024-06-04,0.545,0.6,0.54,0.595,0.595,138308500
2024-06-05,0.605,0.615,0.58,0.615,0.615,65618900
2024-06-06,0.63,0.67,0.615,0.615,0.615,143601203
2024-06-07,0.615,0.645,0.59,0.64,0.64,57627800
2024-06-10,0.65,0.675,0.645,0.665,0.665,61540400
2024-06-11,0.675,0.795,0.67,0.795,0.795,179473500
2024-06-12,0.81,0.84,0.745,0.78,0.78,131054800
2024-06-13,0.8,0.9,0.78,0.895,0.895,129992900
2024-06-14,0.885,0.93,0.875,0.895,0.895,100434400
2024-06-18,0.915,0.93,0.815,0.83,0.83,83651700
2024-06-19,0.835,0.855,0.745,0.825,0.825,113536700
2024-06-20,0.825,0.83,0.775,0.775,0.775,51276900
2024-06-21,0.755,0.875,0.75,0.845,0.845,125578800
2024-06-24,0.835,0.845,0.775,0.775,0.775,60077300
2024-06-25,0.77,0.79,0.675,0.695,0.695,90327000
2024-06-26,0.72,0.755,0.71,0.735,0.735,82385300
2024-06-27,0.735,0.735,0.695,0.705,0.705,38269300
2024-06-28,0.7,0.725,0.69,0.705,0.705,24637500
2024-07-01,0.71,0.795,0.685,0.79,0.79,70695800
2024-07-02,0.785,0.805,0.755,0.765,0.765,61993300
2024-07-03,0.765,0.795,0.765,0.78,0.78,40256100
2024-07-04,0.79,0.82,0.78,0.785,0.785,60892100
2024-07-05,0.79,0.8,0.775,0.79,0.79,28670400
2024-07-09,0.795,0.805,0.775,0.775,0.775,22062000
2024-07-10,0.775,0.805,0.76,0.8,0.8,45747500
