date,open,high,low,close,adjusted_close,volume
2023-09-11,1.35,1.43,1.35,1.4,1.4,4237200
2023-09-12,1.41,1.41,1.36,1.4,1.4,2596700
2023-09-13,1.38,1.48,1.38,1.46,1.46,6439900
2023-09-14,1.46,1.5,1.45,1.49,1.49,4136100
2023-09-15,1.5,1.5,1.45,1.5,1.5,3010000
2023-09-18,1.5,1.5,1.42,1.44,1.44,3313000
2023-09-19,1.44,1.49,1.43,1.46,1.46,3171200
2023-09-20,1.46,1.49,1.46,1.47,1.47,1427400
2023-09-21,1.48,1.55,1.48,1.48,1.48,6825800
2023-09-22,1.48,1.48,1.44,1.48,1.48,2558600
2023-09-25,1.47,1.49,1.45,1.46,1.46,1829700
2023-09-26,1.46,1.47,1.42,1.43,1.43,3247700
2023-09-27,1.42,1.48,1.38,1.39,1.39,3092800
2023-09-29,1.39,1.42,1.35,1.37,1.37,3648200
2023-10-02,1.37,1.42,1.31,1.35,1.35,5794000
2023-10-03,1.35,1.4,1.34,1.35,1.35,3518000
2023-10-04,1.36,1.39,1.33,1.35,1.35,2371400
2023-10-05,1.35,1.37,1.3,1.31,1.31,3895800
2023-10-06,1.32,1.36,1.3,1.32,1.32,3142900
2023-10-09,1.32,1.35,1.32,1.33,1.33,2520300
2023-10-10,1.34,1.35,1.32,1.33,1.33,1989100
2023-10-11,1.34,1.43,1.34,1.42,1.42,6604000
2023-10-12,1.42,1.44,1.38,1.4,1.4,3970000
2023-10-13,1.41,1.44,1.32,1.32,1.32,6597200
2023-10-16,1.32,1.32,1.23,1.26,1.26,7307900
2023-10-17,1.26,1.3,1.25,1.26,1.26,2980400
2023-10-18,1.27,1.29,1.2,1.2,1.2,3546700
2023-10-19,1.21,1.22,1.15,1.21,1.21,5309700
2023-10-20,1.22,1.23,1.18,1.21,1.21,3110200
2023-10-23,1.2,1.2,1.18,1.18,1.18,1536700
2023-10-24,1.18,1.24,1.18,1.23,1.23,3233600
2023-10-25,1.24,1.25,1.22,1.23,1.23,1634300
2023-10-26,1.24,1.27,1.22,1.25,1.25,1594100
2023-10-27,1.25,1.29,1.25,1.28,1.28,1802100
2023-10-30,1.3,1.36,1.29,1.33,1.33,3877300
2023-10-31,1.34,1.34,1.29,1.3,1.3,1431000
2023-11-01,1.3,1.3,1.23,1.25,1.25,1900000
2023-11-02,1.25,1.28,1.24,1.26,1.26,1187900
2023-11-03,1.27,1.28,1.23,1.24,1.24,2682000
2023-11-06,1.24,1.3,1.24,1.28,1.28,1632800
2023-11-07,1.29,1.3,1.25,1.27,1.27,1269400
2023-11-08,1.29,1.29,1.25,1.25,1.25,1359100
2023-11-09,1.25,1.33,1.25,1.31,1.31,2508000
2023-11-10,1.3,1.32,1.27,1.3,1.3,2040700
2023-11-14,1.32,1.39,1.32,1.34,1.34,2797000
2023-11-15,1.36,1.37,1.33,1.36,1.36,1074800
2023-11-16,1.35,1.36,1.33,1.34,1.34,873000
2023-11-17,1.35,1.35,1.3,1.32,1.32,2393500
2023-11-20,1.31,1.35,1.3,1.31,1.31,1355900
2023-11-21,1.32,1.37,1.31,1.37,1.37,2767700
2023-11-22,1.37,1.38,1.36,1.37,1.37,1787400
2023-11-23,1.37,1.43,1.35,1.42,1.42,9581900
2023-11-24,1.43,1.44,1.34,1.38,1.38,4287400
2023-11-27,1.39,1.48,1.39,1.46,1.46,6518300
2023-11-28,1.46,1.47,1.39,1.39,1.39,2331400
