date,open,high,low,close,adjusted_close,volume
2023-09-11,0.265,0.265,0.255,0.265,0.2597,1957800
2023-09-12,0.26,0.265,0.255,0.26,0.2548,414400
2023-09-13,0.255,0.26,0.25,0.25,0.245,1576800
2023-09-14,0.255,0.26,0.255,0.26,0.2548,1557000
2023-09-15,0.26,0.26,0.25,0.255,0.2499,1111800
2023-09-18,0.26,0.26,0.25,0.255,0.2499,519800
2023-09-19,0.255,0.26,0.255,0.26,0.2548,209400
2023-09-20,0.255,0.26,0.25,0.26,0.2548,896200
2023-09-21,0.255,0.26,0.255,0.26,0.2548,773700
2023-09-22,0.26,0.27,0.26,0.265,0.2597,5811700
2023-09-25,0.265,0.265,0.26,0.265,0.2597,933700
2023-09-26,0.265,0.265,0.26,0.26,0.2548,929700
2023-09-27,0.26,0.265,0.24,0.255,0.2499,10151500
2023-09-29,0.255,0.255,0.245,0.25,0.245,2695800
2023-10-02,0.25,0.255,0.25,0.255,0.2499,773800
2023-10-03,0.255,0.255,0.245,0.25,0.245,1636800
2023-10-04,0.25,0.25,0.245,0.245,0.2401,2684800
2023-10-05,0.245,0.25,0.24,0.245,0.2401,2635800
2023-10-06,0.24,0.245,0.24,0.245,0.2401,1007300
2023-10-09,0.245,0.245,0.24,0.245,0.2401,371300
2023-10-10,0.24,0.25,0.24,0.245,0.2401,3333700
2023-10-11,0.25,0.25,0.245,0.245,0.2401,937200
2023-10-12,0.245,0.245,0.245,0.245,0.2401,647800
2023-10-13,0.245,0.25,0.245,0.245,0.2401,580300
2023-10-16,0.245,0.25,0.245,0.25,0.245,1347500
2023-10-17,0.25,0.25,0.245,0.25,0.245,262700
2023-10-18,0.25,0.25,0.245,0.25,0.245,1496900
2023-10-19,0.245,0.245,0.24,0.245,0.2401,432700
2023-10-20,0.245,0.245,0.24,0.245,0.2401,331700
2023-10-23,0.24,0.245,0.24,0.24,0.2352,859100
2023-10-24,0.24,0.245,0.24,0.24,0.2352,321400
2023-10-25,0.24,0.25,0.24,0.245,0.2401,1375600
2023-10-26,0.245,0.25,0.245,0.25,0.245,477400
2023-10-27,0.245,0.245,0.24,0.245,0.2401,1129400
2023-10-30,0.245,0.25,0.24,0.245,0.2401,799500
2023-10-31,0.245,0.255,0.245,0.25,0.245,3867300
2023-11-01,0.255,0.255,0.25,0.25,0.245,364900
2023-11-02,0.25,0.255,0.245,0.255,0.2499,879800
2023-11-03,0.25,0.26,0.25,0.255,0.2499,5110000
2023-11-06,0.255,0.26,0.25,0.255,0.2499,380000
2023-11-07,0.26,0.26,0.255,0.26,0.2548,624100
2023-11-08,0.255,0.255,0.245,0.245,0.2425,668000
2023-11-09,0.25,0.255,0.245,0.255,0.2524,973900
2023-11-10,0.255,0.26,0.25,0.255,0.2524,492000
2023-11-14,0.255,0.255,0.245,0.25,0.2474,1772900
2023-11-15,0.25,0.25,0.235,0.24,0.2375,9805400
2023-11-16,0.245,0.245,0.23,0.23,0.2276,10172500
2023-11-17,0.235,0.235,0.225,0.23,0.2276,8364000
2023-11-20,0.23,0.235,0.225,0.235,0.2326,1651500
2023-11-21,0.235,0.235,0.23,0.235,0.2326,1237900
2023-11-22,0.235,0.24,0.23,0.24,0.2375,1252600
2023-11-23,0.235,0.24,0.23,0.23,0.2276,2506600
2023-11-24,0.23,0.235,0.23,0.23,0.2276,5284900
2023-11-27,0.23,0.235,0.225,0.23,0.2276,4635900
2023-11-28,0.23,0.23,0.225,0.23,0.2276,776100
2023-11-29,0.23,0.235,0.225,0.23,0.2276,1508500
2023-11-30,0.235,0.235,0.225,0.225,0.2227,626700
2023-12-01,0.23,0.23,0.225,0.23,0.2276,648400
2023-12-04,0.23,0.235,0.23,0.23,0.2276,345600
2023-12-05,0.235,0.235,0.225,0.23,0.2276,797200
2023-12-06,0.23,0.23,0.225,0.23,0.2276,173400
2023-12-07,0.23,0.235,0.225,0.23,0.2276,925400
2023-12-08,0.23,0.235,0.225,0.23,0.2276,565800
2023-12-11,0.23,0.23,0.225,0.23,0.2276,437600
2023-12-12,0.23,0.23,0.225,0.225,0.2227,712900
2023-12-13,0.225,0.23,0.225,0.225,0.2227,603100
2023-12-14,0.225,0.23,0.225,0.225,0.2227,3537700
2023-12-15,0.225,0.235,0.225,0.235,0.2326,4809200
2023-12-18,0.235,0.235,0.225,0.23,0.2276,3423500
2023-12-19,0.23,0.235,0.225,0.23,0.2276,1716100
2023-12-20,0.225,0.235,0.225,0.23,0.2276,874000
2023-12-21,0.235,0.24,0.23,0.24,0.2375,4052600
2023-12-22,0.235,0.235,0.23,0.235,0.2326,522000
2023-12-26,0.235,0.235,0.23,0.23,0.2276,258800
2023-12-27,0.23,0.24,0.23,0.235,0.2326,673000
2023-12-28,0.235,0.24,0.235,0.235,0.2326,295700
2023-12-29,0.24,0.24,0.23,0.235,0.2326,617800
2024-01-02,0.235,0.235,0.23,0.235,0.2326,554800
2024-01-03,0.235,0.235,0.23,0.235,0.2326,234200
2024-01-04,0.235,0.24,0.23,0.235,0.2326,2139000
2024-01-05,0.235,0.24,0.235,0.235,0.2326,516500
2024-01-08,0.235,0.24,0.235,0.235,0.2326,1414800
2024-01-09,0.24,0.24,0.235,0.235,0.2326,847900
2024-01-10,0.235,0.24,0.23,0.235,0.2326,1688500
2024-01-11,0.235,0.24,0.23,0.235,0.2326,916300
2024-01-12,0.235,0.24,0.23,0.235,0.2326,1767000
2024-01-15,0.235,0.235,0.235,0.235,0.2326,0
2024-01-16,0.235,0.235,0.23,0.235,0.2326,357500
2024-01-17,0.235,0.235,0.225,0.235,0.2326,1441500
